location,county_zone,state,date,time,timezone,type,deaths,injuries,property_damage_dollars,crop_damage_dollars
LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1997-01-31,8:00:00 AM,PST,Flood,0,0,0.00K,0.00K
KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1997-02-17,6:00:00 PM,PST,Flood,0,0,0.00K,0.00K
MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1997-03-15,11:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
UPPER COLUMBIA BASIN (ZO...,UPPER COLUMBIA BASIN (ZO...,WA,1997-03-15,11:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
NE OKANOGAN/FERRY/STEVEN...,NE OKANOGAN/FERRY/STEVEN...,WA,1997-05-21,12:00:00 AM,PST,Flood,0,0,0.00K,0.00K
EPHRATA,GRANT CO.,WA,1997-05-31,11:10:00 AM,PST,Heavy Rain,0,0,0.00K,0.00K
WILSON CREEK,GRANT CO.,WA,1997-05-31,11:40:00 AM,PST,Heavy Rain,0,0,0.00K,0.00K
LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1997-06-12,7:00:00 AM,PST,Flood,0,0,0.00K,0.00K
BERRIAN,BENTON CO.,WA,1997-08-26,3:30:00 PM,PST,Wildfire,0,0,0.00K,0.00K
YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1998-01-03,8:00:00 AM,PST,Winter Storm,0,0,0.00K,0.00K
NE OKANOGAN/FERRY/STEVEN...,NE OKANOGAN/FERRY/STEVEN...,WA,1998-01-07,1:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1998-01-10,12:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,1998-01-10,2:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,1998-01-10,2:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1998-01-10,2:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,1998-01-10,2:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NE OKANOGAN/FERRY/STEVEN...,NE OKANOGAN/FERRY/STEVEN...,WA,1998-01-14,6:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
E YAKIMA (ZONE),E YAKIMA (ZONE),WA,1998-01-14,9:00:00 AM,PST,Winter Storm,0,0,0.00K,0.00K
NE OKANOGAN/FERRY/STEVEN...,NE OKANOGAN/FERRY/STEVEN...,WA,1998-02-20,8:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1998-02-25,10:00:00 AM,PST,Winter Storm,0,0,0.00K,0.00K
N COLUMBIA/SE WALLA WALL...,N COLUMBIA/SE WALLA WALL...,WA,1998-03-26,12:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
PLAIN,CHELAN CO.,WA,1998-06-05,5:01:00 PM,PST,Heavy Rain,0,0,0.00K,0.00K
CLE ELUM ARPT,KITTITAS CO.,WA,1998-06-06,5:05:00 PM,PST,Heavy Rain,0,0,0.00K,0.00K
OROVILLE,OKANOGAN CO.,WA,1998-06-28,2:26:00 PM,PST,Heavy Rain,0,0,0.00K,0.00K
OMAK,OKANOGAN CO.,WA,1998-07-27,10:30:00 PM,PST,Wildfire,0,0,50.00K,25.00K
CHELAN,CHELAN CO.,WA,1998-08-02,11:00:00 PM,PST,Wildfire,0,0,10.000M,80.000M
WAUCONDA,OKANOGAN CO.,WA,1998-08-21,4:00:00 PM,PST,Heavy Rain,0,0,0.00K,0.00K
NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,1998-11-07,5:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,1998-11-19,9:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,1998-11-20,4:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1998-12-01,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1998-12-01,12:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
E KITTITAS (ZONE),E KITTITAS (ZONE),WA,1998-12-05,1:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
E YAKIMA (ZONE),E YAKIMA (ZONE),WA,1998-12-05,1:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
S GRANT & SW ADAMS (ZONE),S GRANT & SW ADAMS (ZONE),WA,1998-12-07,9:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1998-12-07,5:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NE GRANT/X NE DOUGLAS/X ...,NE GRANT/X NE DOUGLAS/X ...,WA,1998-12-08,9:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
E YAKIMA (ZONE),E YAKIMA (ZONE),WA,1998-12-24,12:00:00 AM,PST,Winter Storm,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1998-12-24,12:00:00 AM,PST,Winter Storm,0,0,0.00K,0.00K
N COLUMBIA/SE WALLA WALL...,N COLUMBIA/SE WALLA WALL...,WA,1998-12-24,12:00:00 AM,PST,Winter Storm,0,0,0.00K,0.00K
BENTON/FRANKLIN/WALLA WA...,BENTON/FRANKLIN/WALLA WA...,WA,1998-12-24,12:00:00 AM,PST,Winter Storm,0,0,0.00K,0.00K
NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,1998-12-24,8:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1998-12-25,2:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1998-12-25,6:00:00 AM,PST,Winter Storm,0,0,0.00K,0.00K
BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,1998-12-25,6:00:00 AM,PST,Winter Storm,0,0,0.00K,0.00K
LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1998-12-25,6:00:00 AM,PST,Winter Storm,0,0,0.00K,0.00K
NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,1998-12-25,6:00:00 AM,PST,Winter Storm,0,0,0.00K,0.00K
YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1998-12-25,6:00:00 AM,PST,Winter Storm,0,0,0.00K,0.00K
NC&S OKANOGAN X EXTREME ...,NC&S OKANOGAN X EXTREME ...,WA,1998-12-26,4:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,1998-12-27,2:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1998-12-27,7:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1998-12-28,11:00:00 AM,PST,Flood,0,0,0.00K,0.00K
E KITTITAS (ZONE),E KITTITAS (ZONE),WA,1998-12-28,11:00:00 AM,PST,Flood,0,0,0.00K,0.00K
NE GRANT/X NE DOUGLAS/X ...,NE GRANT/X NE DOUGLAS/X ...,WA,1999-01-11,5:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,1999-01-14,5:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
E CHELAN/EXTREME W DOUGL...,E CHELAN/EXTREME W DOUGL...,WA,1999-01-15,5:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1999-01-16,5:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1999-01-17,12:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NC&S OKANOGAN X EXTREME ...,NC&S OKANOGAN X EXTREME ...,WA,1999-01-17,5:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,1999-01-21,5:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1999-01-22,5:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1999-01-22,10:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1999-01-22,10:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,1999-01-30,5:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1999-02-02,5:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,1999-02-05,10:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1999-02-10,8:00:00 AM,PST,Winter Storm,1,1,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1999-02-16,6:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1999-02-28,10:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,1999-03-15,8:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,1999-03-16,6:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1999-03-26,8:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,1999-03-28,8:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1999-03-31,6:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,1999-04-09,12:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,1999-07-01,12:00:00 AM,PST,Drought,0,0,0.00K,0.00K
LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1999-07-01,12:00:00 AM,PST,Drought,0,0,0.00K,0.00K
CHELAN,CHELAN CO.,WA,1999-08-03,12:00:00 AM,PST,Wildfire,0,0,0.00K,0.00K
COUNTYWIDE,OKANOGAN CO.,WA,1999-08-03,12:00:00 AM,PST,Wildfire,0,0,0.00K,0.00K
WINTHROP,OKANOGAN CO.,WA,1999-08-03,12:00:00 AM,PST,Wildfire,0,0,0.00K,0.00K
WINTHROP,OKANOGAN CO.,WA,1999-08-14,12:00:00 AM,PST,Heavy Rain,0,0,0.00K,0.00K
NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,1999-10-26,5:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1999-10-26,5:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1999-10-27,12:51:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1999-12-01,5:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
E CHELAN/EXTREME W DOUGL...,E CHELAN/EXTREME W DOUGL...,WA,1999-12-09,6:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1999-12-14,6:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
NC&S OKANOGAN X EXTREME ...,NC&S OKANOGAN X EXTREME ...,WA,1999-12-17,6:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,1999-12-31,6:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
UPPER COLUMBIA BASIN (ZO...,UPPER COLUMBIA BASIN (ZO...,WA,2000-01-04,2:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
OKANOGAN VALLEY (ZONE),OKANOGAN VALLEY (ZONE),WA,2000-01-04,2:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2000-01-04,2:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2000-01-04,2:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,2000-01-04,2:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
E KITTITAS (ZONE),E KITTITAS (ZONE),WA,2000-01-15,10:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
E YAKIMA (ZONE),E YAKIMA (ZONE),WA,2000-01-15,10:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,2000-02-01,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,2000-02-01,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,2000-02-01,4:00:00 AM,PST,Heavy Snow,0,0,20.00K,0.00K
NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2000-02-01,4:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
NC&S OKANOGAN X EXTREME ...,NC&S OKANOGAN X EXTREME ...,WA,2000-02-01,4:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,2000-02-01,4:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
E CHELAN/EXTREME W DOUGL...,E CHELAN/EXTREME W DOUGL...,WA,2000-02-01,4:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2000-02-14,9:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2000-03-04,4:30:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,2000-03-05,5:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
N COLUMBIA/SE WALLA WALL...,N COLUMBIA/SE WALLA WALL...,WA,2000-03-05,10:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,2000-03-16,5:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
WALLA WALLA,WALLA WALLA CO.,WA,2000-05-30,10:00:00 AM,PST,Heavy Rain,0,0,3.00K,0.00K
NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,2000-05-30,12:30:00 PM,PST,Heavy Snow,0,0,45.00K,0.00K
TAMPICO,YAKIMA CO.,WA,2000-07-17,5:00:00 PM,PST,Wildfire,0,0,0.00K,0.00K
WHITE SWAN,YAKIMA CO.,WA,2000-07-17,5:00:00 PM,PST,Wildfire,0,0,0.00K,0.00K
FINLEY,BENTON CO.,WA,2000-07-21,4:30:00 PM,PST,Wildfire,0,0,0.00K,0.00K
OROVILLE,OKANOGAN CO.,WA,2000-07-22,12:00:00 PM,PST,Wildfire,0,0,3.300M,0.00K
WAITSBURG,WALLA WALLA CO.,WA,2000-10-01,12:00:00 AM,PST,Heavy Rain,0,0,90.00K,0.00K
WATERVILLE PLATEAU (ZONE),WATERVILLE PLATEAU (ZONE),WA,2000-11-08,1:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2000-11-08,1:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,2000-11-08,6:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,2000-11-26,8:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
E CHELAN/EXTREME W DOUGL...,E CHELAN/EXTREME W DOUGL...,WA,2000-11-29,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
NE GRANT/X NE DOUGLAS/X ...,NE GRANT/X NE DOUGLAS/X ...,WA,2000-11-29,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,2000-11-29,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
NC&S OKANOGAN X EXTREME ...,NC&S OKANOGAN X EXTREME ...,WA,2000-11-29,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
E KITTITAS (ZONE),E KITTITAS (ZONE),WA,2000-11-29,4:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
N COLUMBIA/SE WALLA WALL...,N COLUMBIA/SE WALLA WALL...,WA,2000-12-13,10:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,2000-12-14,10:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2000-12-14,2:00:00 PM,PST,Winter Storm,0,0,0.00K,0.00K
WATERVILLE PLATEAU (ZONE),WATERVILLE PLATEAU (ZONE),WA,2000-12-14,2:00:00 PM,PST,Winter Storm,0,0,0.00K,0.00K
WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2000-12-14,2:00:00 PM,PST,Winter Storm,0,0,0.00K,0.00K
NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2000-12-16,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
E KITTITAS (ZONE),E KITTITAS (ZONE),WA,2000-12-23,8:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
N COLUMBIA/SE WALLA WALL...,N COLUMBIA/SE WALLA WALL...,WA,2001-01-11,10:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,2001-01-13,4:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2001-01-21,9:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2001-02-04,2:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,2001-02-04,2:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,2001-02-15,11:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NE GRANT/X NE DOUGLAS/X ...,NE GRANT/X NE DOUGLAS/X ...,WA,2001-02-15,11:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
S GRANT & SW ADAMS (ZONE),S GRANT & SW ADAMS (ZONE),WA,2001-02-15,11:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NC&S OKANOGAN X EXTREME ...,NC&S OKANOGAN X EXTREME ...,WA,2001-02-15,11:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
E CHELAN/EXTREME W DOUGL...,E CHELAN/EXTREME W DOUGL...,WA,2001-02-15,11:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,2001-02-15,11:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2001-04-03,3:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,2001-04-10,7:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
COUNTYWIDE,GRANT CO.,WA,2001-06-26,6:00:00 PM,PST,Heavy Rain,0,0,0.00K,500.00K
COUNTYWIDE,DOUGLAS CO.,WA,2001-06-26,6:00:00 PM,PST,Heavy Rain,0,0,0.00K,10.000M
COUNTYWIDE,CHELAN CO.,WA,2001-06-26,6:00:00 PM,PST,Heavy Rain,0,0,0.00K,10.000M
WINTHROP,OKANOGAN CO.,WA,2001-07-09,8:00:00 PM,PST,Wildfire,4,4,0.00K,0.00K
OKANOGAN,OKANOGAN CO.,WA,2001-08-12,9:00:00 AM,PST,Wildfire,0,2,900.00K,0.00K
CHELAN,CHELAN CO.,WA,2001-08-12,2:00:00 PM,PST,Wildfire,0,0,200.00K,0.00K
OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2001-10-12,5:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,2001-11-23,1:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,2001-11-28,12:00:00 AM,PST,Heavy Snow,0,0,100.00K,0.00K
KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,2001-11-28,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,2001-11-28,1:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,2001-11-28,5:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
NE GRANT/X NE DOUGLAS/X ...,NE GRANT/X NE DOUGLAS/X ...,WA,2001-11-28,5:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
