Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1972,13.04,13.58,11.98,10.28,1.03,1.42,4.16,0.56,5.97,1.98,8.05,13.96,86.01,Grays Harbor
1973,10.99,3.81,6.67,2.8,4.84,4.82,0.2,0.42,4.44,6.52,14.91,16.8,77.22,Grays Harbor
1974,18.11,11.82,15.19,7.35,5.27,2.61,3.04,0.78,0.69,2.51,9.34,15.38,92.09,Grays Harbor
1975,12.67,9.12,7.62,3.35,4.49,2.51,0.18,5.15,0.1,17.84,14.17,20.32,97.52,Grays Harbor
1976,15.32,10.25,10.37,3.56,2.94,2.07,2.44,3.72,1.4,3.13,3.33,5.72,64.25,Grays Harbor
1977,3.48,6.38,11.04,2.49,6.8,1.62,1.02,5.36,5.4,6.13,14.64,17.97,82.33,Grays Harbor
1978,6.99,5.9,6.01,4.82,5.15,3.64,0.56,3.17,10.23,1.25,6.21,5.51,59.44,Grays Harbor
1979,3.68,18.25,5.01,5.06,2.66,1.32,2.25,1.79,3.29,10.1,4.83,18.88,77.12,Grays Harbor
1980,6.19,13.38,6.44,6.38,1.97,2.01,0.93,1.44,3.67,2.59,14.91,13.23,73.14,Grays Harbor
1981,3.74,12.99,6.11,12.23,3.75,5.04,1.17,0.66,7.36,11.1,10.45,15.82,90.42,Grays Harbor
1982,18.14,16.4,8.92,9.92,0.55,2.26,1.27,0.94,2.82,8.71,11.05,16.23,97.21,Grays Harbor
1983,17.3,14.66,12.71,3.76,2.81,3.28,5.07,1.11,3.62,2.85,23.78,9.84,100.79,Grays Harbor
1984,14.69,10.98,7.94,5.56,7.77,4.2,0.12,0.78,3.77,8.93,17.95,8.76,91.45,Grays Harbor
1985,0.58,5.74,8.79,6.35,2.39,3.05,0.22,1.29,3.91,14.56,7.93,3.21,58.02,Grays Harbor
1986,16.56,12.02,6.22,5.48,5.35,1.61,2.7,0.07,3.53,5.82,14.72,10.15,84.23,Grays Harbor
