Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1982,2.72,1.96,2.62,1.37,0.55,3.58,2.32,3.53,2.23,1.13,2.17,3.53,27.71,Setevens
1983,2.92,2.08,3.49,1.95,1.51,2.31,3.35,1.79,0.44,1.35,1.86,2.24,25.29,Setevens
1984,1.36,0.65,1.67,2.53,1.66,3.92,0.15,1.41,1.14,1.04,2.15,2.9,20.58,Setevens
1985,0.03,0.96,1.15,M,1.95,1.35,1.1,2.74,2.26,2.07,1.49,0.61,M,Setevens
1986,1.93,1.8,0.87,1.91,1.23,1.44,1.33,0.03,3.23,0.12,2.02,0.99,16.9,Setevens
1987,0.29,1.11,2.34,0.76,2.78,1.67,2.5,0.83,0.45,0.25,1.86,3.38,18.22,Setevens
1988,0.93,0.88,2.33,1.28,1.75,2.49,0.2,0.54,2.7,0.29,3.45,1.67,18.51,Setevens
1989,0.79,1.38,2.37,1.95,2.87,1.96,0.83,2.3,0.22,1.13,2.19,0.81,18.8,Setevens
1990,2.34,1.19,0.52,2.29,4.23,3.19,1.69,2.14,0.02,1.96,0.96,2.72,23.25,Setevens
1991,1.94,0.79,1.28,0.93,3.22,2.41,1.46,0.99,0.56,0.4,2.51,1.22,17.71,Setevens
1992,2.72,1.45,0.65,2.07,0.64,4.13,2.45,0.54,0.44,1.21,3.15,1.76,21.21,Setevens
1993,1.67,0.26,0.9,2.17,1.3,2.54,3.39,1.32,1.44,0.46,0.53,2.97,18.95,Setevens
1994,1.58,1.43,0.43,2.1,1.92,2.69,0.39,M,0.82,0.77,2.8,2.88,M,Setevens
1995,2.98,0.61,2.86,1.41,0.62,2.71,1.56,0.87,1.23,2.35,2.59,2.84,22.63,Setevens
1996,1.73,2.36,0.48,2.45,4.46,2.63,0.72,0.65,0.74,2.96,3.64,3.1,25.92,Setevens
1997,2.33,1.24,2.01,2.23,4.3,2.45,2.62,0.85,3.69,1.71,1.01,1.11,25.55,Setevens
1998,2.41,1.19,2.64,1.75,6.48,1.88,2.84,0.2,0.75,1.06,2.48,4.02,27.7,Setevens
1999,1.48,2.38,0.88,1.43,1.37,2.54,1.88,0.41,0.02,1.31,2.34,2.41,18.45,Setevens
2000,2.4,1.79,3.42,1.98,1.57,1.35,0.47,0.18,1.18,1,1.21,1.24,17.79,Setevens
2001,0.68,0.54,1.87,1.99,1.06,2.31,0.87,0.29,0.58,1.86,1.61,3.26,16.92,Setevens
2002,1.69,1.4,0.66,0.97,2.34,1.05,0.78,0.34,0.72,T,1.8,4.55,16.3,Setevens
2003,4.15,1.37,2.24,2.41,1.81,0.76,0,0.15,1.06,1.59,1.64,1.92,19.1,Setevens
2004,6.29,1.03,1.46,0.95,2.72,1.8,1,3.66,2.24,1.77,1.45,2.61,26.98,Setevens
2005,2,T,1.47,1.2,1.82,3.44,1.36,0.54,0.54,1.59,2.71,2.89,19.56,Setevens
2006,3.96,0.88,1.13,2.56,2.44,2.79,0.75,0.39,0.45,0.61,4.26,2.21,22.43,Setevens
2007,1.59,2.08,1.89,0.94,1.21,M,M,0.29,0.73,1.53,M,2.75,M,Setevens
2008,2.19,0.84,1.58,0.84,1.26,2.44,0.12,1.16,1.29,1.08,2.36,2.94,M,Setevens
2009,1.51,1.19,1.36,0.83,1.64,1.31,1.15,0.68,0.57,2.1,2.53,2.01,16.88,Setevens
2010,M,2.58,1.1,1.9,0.44,M,M,M,M,M,M,M,M,Setevens
2011,M,M,M,M,M,M,0.92,0.03,0.04,1.16,2.25,0.96,M,Setevens
2012,1.32,1.6,3.02,2.38,1.43,7.14,0.82,0.09,0.33,2.81,3.5,2.91,27.35,Setevens
2013,1.33,0.49,1.21,1.49,1.88,2.66,0.26,0.11,2.79,0.41,1.63,1.17,15.43,Setevens
2014,1.01,1.01,2.27,1.95,1.89,3.9,0.5,1.99,0.89,1.95,2.71,1.92,21.99,Setevens
2015,1.77,1.64,1.71,0.43,1.65,1.3,0.49,1.05,0.52,1.71,2.33,3.35,17.95,Setevens
2016,2.76,1.26,3.04,1.24,1.6,2.09,0.72,0.05,0.39,5.26,2.4,1.8,22.61,Setevens
2017,1.13,3.32,2.4,2.18,1.73,1.12,T,0.06,0.64,1.34,2.44,2.09,18.45,Setevens
2018,2.73,1.56,1.88,2.76,2.71,1.71,0.31,0.35,M,M,M,2.37,M,Setevens
2019,1.45,1.68,0.73,1.41,0.54,1.06,0.77,0.79,2.7,0.83,1.11,2.04,15.11,Setevens
2020,4.36,0.7,0.69,0.54,3.71,2.65,0.64,0.27,0.5,3.04,1.67,2.24,21.01,Setevens
2021,3.12,1.47,0.57,1.01,0.28,0.86,0.03,1.56,1.04,2.83,2.98,1.85,17.6,Setevens
2022,1.81,0.88,1.52,0.71,1.8,3.11,1.16,T,0.45,M,M,M,M,Setevens
