Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
2009,-19,3,3,M,28,34,M,37,26,13,13,-2,M,Lincoln
2010,14,20,19,21,26,36,38,29,32,22,0,-13,M,Lincoln
2011,-11,-10,24,18,25,28,34,36,27,13,6,5,-11,Lincoln
2012,0,14,17,21,22,30,32,35,26,23,12,11,0,Lincoln
2013,-2,7,12,16,16,31,38,37,26,16,11,-10,-10,Lincoln
2014,11,-5,10,22,27,32,33,41,31,26,5,5,-5,Lincoln
2015,5,16,11,19,25,31,37,38,30,25,7,-3,-3,Lincoln
2016,-6,16,21,23,30,28,34,37,27,25,20,-10,-10,Lincoln
2017,-13,1,18,22,27,31,35,32,30,17,10,-1,-13,Lincoln
2018,10,-3,13,22,30,28,33,32,27,18,13,10,-3,Lincoln
2019,9,-2,-4,27,29,31,34,40,28,8,11,13,-4,Lincoln
2020,-11,11,15,17,24,34,33,35,30,5,11,8,-11,Lincoln
2021,8,3,16,14,22,31,34,32,29,18,14,-4,-4,Lincoln
2022,1,3,15,18,26,37,45,37,29,M,M,M,M,Lincoln
