,year,ppt,tmin,tmean,tmax,tdewmean,vpdmin,vpdmax,vpddiff,tdiff,yield_acre_lbs,percent_utilized,utilized_per_acre,avg_price_pound_dollars,trees_per_acre
18,1988,117.53,37.64666666666667,49.235,60.82416666666666,33.766666666666666,1.90575,14.802333333333333,12.896583333333332,23.177500000000002,30500.0,100.0,30468.75,0.13,301.4
19,1989,124.67,36.91583333333333,48.08083333333333,59.244166666666665,33.93833333333333,1.4971666666666665,13.00875,11.511583333333334,22.328333333333333,38500.0,100.0,38461.53846153846,0.093,307.8
20,1990,160.38,37.62583333333334,49.11833333333333,60.6175,34.87833333333333,1.6895833333333334,14.0955,12.405916666666666,22.991666666666667,35300.0,100.0,35294.117647058825,0.164,314.2
21,1991,139.10999999999999,37.40833333333333,48.675,59.945,33.6025,1.7028333333333334,13.446333333333333,11.743500000000001,22.53666666666667,30900.0,100.0,30935.251798561152,0.22,320.6
22,1992,137.09,39.03333333333333,50.160833333333336,61.29666666666667,34.97083333333333,1.8839166666666667,14.15425,12.270333333333333,22.263333333333332,32700.0,100.0,32746.47887323944,0.154,327.0
23,1993,123.85,35.416666666666664,46.22416666666666,57.0375,31.626666666666665,1.41225,12.614083333333333,11.201833333333333,21.620833333333334,34000.0,100.0,34013.60544217687,0.142,333.4
24,1994,147.65,38.1825,49.695,61.20916666666667,33.31666666666667,1.7810833333333334,15.403666666666668,13.622583333333333,23.026666666666664,38500.0,98.29059829059828,37828.94736842105,0.138,339.8
25,1995,202.05,37.71666666666667,48.718333333333334,59.71666666666667,34.538333333333334,1.2103333333333335,13.15825,11.947916666666666,22.0,30700.0,97.9381443298969,30063.291139240508,0.215,346.2
26,1996,198.06,35.144999999999996,46.56166666666666,57.97666666666667,32.48166666666667,1.305,13.273750000000001,11.96875,22.831666666666667,33500.0,100.0,33536.58536585366,0.166,352.6
27,1997,155.47,37.5525,48.380833333333335,59.2125,35.4125,1.0565833333333334,12.395999999999999,11.339416666666667,21.66,29400.0,100.0,29411.764705882357,0.164,359.0
28,1998,169.5,39.104166666666664,50.40083333333334,61.70166666666667,36.61333333333334,1.4119166666666667,14.511750000000001,13.099833333333333,22.597500000000004,38400.0,92.42424242424242,35465.11627906977,0.115,365.4
29,1999,124.51,37.59666666666667,49.02833333333333,60.46,33.36833333333333,1.5511666666666666,13.897166666666667,12.346,22.863333333333333,29100.0,100.0,29069.767441860466,0.171,371.8
30,2000,125.25,36.49333333333333,47.559999999999995,58.62583333333334,33.41,1.3166666666666667,13.17325,11.856583333333333,22.1325,35700.0,100.0,35714.28571428572,0.125,378.2
31,2001,125.13,37.622499999999995,48.8,59.982499999999995,34.47083333333333,1.4921666666666666,14.209166666666667,12.717,22.36,31600.0,100.0,31562.5,0.178,384.6
32,2002,109.77,37.1025,48.76416666666667,60.41916666666667,33.666666666666664,1.5373333333333332,14.420916666666667,12.883583333333332,23.316666666666666,32900.0,100.0,32903.22580645161,0.201,391.0
33,2003,137.33,38.62166666666667,50.111666666666665,61.6025,34.495,1.7759166666666666,15.487583333333333,13.711666666666668,22.980833333333333,29400.0,100.0,29354.83870967742,0.219,399.6
