year,season,average_temperature,highest_temperature,lowest_temperature,precipitation_(inches),temperature_difference,snowfall_(inches)
1911,Summer,24.363852245025793,110.0,24.7083080849589,7.40440872880922,85.2916919150411,0.0
1911,Winter,8.586788834151621,53.20560010455465,-25.0,16.045787955932195,78.20560010455465,126.0
1912,Fall,22.70290471437339,88.0,13.196742133422966,13.71,74.80325786657704,31.8
1912,Spring,22.53663488047965,89.0,2.0,12.643104837469096,87.0,11.8
1912,Summer,29.04710970393094,104.0,35.0,9.9,69.0,0.0
1912,Winter,12.40561319883585,57.0,-21.0,18.872622751157536,78.0,113.5
1913,Fall,35.706272638684084,86.0,15.0,11.993713955412648,71.0,37.0
1913,Spring,23.256117897399246,92.0,3.0,9.40662437438039,89.0,14.3
1913,Summer,38.974185129274126,104.0,25.811499183206493,8.743630411426526,78.1885008167935,0.0
1913,Winter,14.96285156840448,71.89820221000959,-14.0,12.767876803808841,85.89820221000959,145.1
1914,Fall,23.67572732554535,92.0,4.0,15.85,88.0,22.0
1914,Spring,31.333390313542353,95.0,11.0,7.643630411426526,84.0,14.3
1914,Summer,39.20221743158546,108.0,25.811499183206493,6.881866652240412,82.1885008167935,0.0
1914,Winter,17.667407885242746,71.89820221000959,-15.0,19.045753607617684,86.89820221000959,150.4
1915,Fall,22.257056279607152,94.0,-3.0,14.766334407261454,97.0,70.0
1915,Spring,23.393585831166586,87.0,17.0,15.219999999999999,70.0,6.5
1915,Summer,31.26462188651161,108.0,39.0,6.585492690189253,69.0,0.0
1915,Winter,12.81669358043412,56.0,-14.0,22.975474878906077,70.0,178.1
1916,Fall,20.318197608758716,94.0,0.0,6.66,94.0,27.3
1916,Spring,21.756935840889025,83.0,3.0,10.51,80.0,37.1
1916,Summer,29.82644466691005,105.0,33.0,11.18,72.0,0.0
1916,Winter,4.586823988040448,51.0,-27.0,21.809875855855477,78.0,247.8
1917,Fall,24.917111124031095,93.0,11.0,6.921236256846283,82.0,29.3
1917,Spring,20.028411393208767,85.0,-11.0,16.17,96.0,52.0
1917,Summer,33.54142926899414,107.0,30.0,3.304177598057989,77.0,0.0
1917,Winter,7.405730201042798,67.0,-19.0,15.251578274576111,86.0,120.5
1918,Fall,23.337319087141314,96.0,3.0,10.997876803808841,93.0,4.5
1918,Spring,18.75017453684706,100.0,10.0,7.577260822853051,90.0,34.0
1918,Summer,18.88267453684706,111.0,25.811499183206493,9.16726082285305,85.1885008167935,0.0
1918,Winter,13.126521691534707,76.55490210204137,-5.0,10.120000000000001,81.55490210204137,60.2
1919,Fall,19.527950158871977,88.0,0.0,10.02,88.0,14.1
1919,Spring,19.271186922925526,90.0,2.0,6.159858633260899,88.0,26.4
1919,Summer,22.896583705395702,107.0,28.382667848741384,2.62,78.61733215125861,0.0
1919,Winter,15.55878700309452,76.12950895465754,-19.0,20.70832821315371,95.12950895465754,81.1
1920,Fall,18.216131950757994,90.0,14.0,15.695753607617684,76.0,15.1
1920,Spring,22.242522554102578,83.0,9.0,8.646792931140206,74.0,20.9
1920,Summer,25.43511292615951,103.0,25.811499183206493,10.85960443615485,77.1885008167935,0.0
1920,Winter,17.83064987193563,71.89820221000959,-1.0,9.535753607617684,72.89820221000959,63.7
1921,Fall,20.068358339472884,84.0,-6.0,11.221077591985196,90.0,73.3
1921,Spring,20.61588964464122,88.0,13.0,8.633630411426525,75.0,25.6
1921,Summer,25.805503935090197,99.0,25.811499183206493,4.2736304114265256,73.1885008167935,0.0
1921,Winter,15.611138231862256,71.89820221000959,-7.0,14.634927397158929,78.89820221000959,97.4
1922,Fall,21.9301768853386,95.0,10.0,8.887876803808842,85.0,26.5
1922,Spring,19.07643909794996,84.0,-6.0,8.551288270394448,90.0,22.5
1922,Summer,33.53056299138623,108.0,25.811499183206493,4.097876803808842,82.1885008167935,0.0
1922,Winter,12.585731114069072,71.89820221000959,-23.0,10.195753607617684,94.89820221000959,140.0
1923,Fall,23.27166995193585,96.0,16.742448237155138,10.65,79.25755176284486,18.7
1923,Spring,21.61362857839967,88.0,4.0,7.72,84.0,5.0
1923,Summer,32.19736437859093,102.0,30.0,13.2,72.0,0.0
1923,Winter,11.722378451474889,71.89820221000959,-23.0,17.862880128049323,94.89820221000959,168.1
1924,Fall,23.12890856776224,98.0,-4.0,14.27,102.0,40.4
1924,Spring,23.00579739640241,95.0,17.0,3.05240371137537,78.0,3.0
1924,Summer,34.605333150792376,107.0,35.0,3.468904088364913,72.0,0.0
1924,Winter,13.563392129489097,71.89820221000959,-31.0,15.117876803808842,102.89820221000959,108.3
1925,Fall,25.602793192071065,91.0,8.0,8.407074148067908,83.0,31.0
1925,Spring,25.389284531266714,86.0,20.0,8.741224035439327,66.0,6.0
1925,Summer,34.63318961513049,105.0,29.0,3.3852886315154067,76.0,0.0
1925,Winter,18.139977358926956,56.0,-11.0,15.05,67.0,112.5
1926,Fall,21.684513756606254,88.0,15.0,15.45546720227583,73.0,24.0
1926,Spring,26.34204948727256,92.0,17.0,4.143662580043851,75.0,4.0
1926,Summer,32.65093369115845,107.0,35.0,4.937817360436238,72.0,0.0
1926,Winter,15.446074476470253,61.0,-7.0,15.34,68.0,110.6
1927,Fall,34.84224585738808,81.0,10.0,19.13509862572974,71.0,58.8
1927,Spring,27.50764104936036,87.0,10.0,7.3038374945797715,77.0,3.0
1927,Summer,37.417137371802674,104.0,32.0,6.275676618583189,72.0,0.0
1927,Winter,10.246469127076324,58.0,-24.0,13.83,82.0,111.1
1928,Fall,29.683329096621616,100.0,14.0,7.898569635528455,86.0,30.8
1928,Spring,31.69993931183228,99.0,10.0,8.434936796168422,89.0,3.0
1928,Summer,39.28655879780216,111.0,33.0,6.734539384522258,78.0,0.0
1928,Winter,18.45995513608624,70.31431835373705,-7.0,14.959334578065139,77.31431835373705,109.8
1929,Fall,24.259043375054926,95.0,1.0,4.862022474787439,94.0,30.8
1929,Spring,22.71582823524578,91.0,12.332655018533089,6.24,78.66734498146691,3.0
1929,Summer,42.10763830126905,107.0,33.0,6.267887630755673,74.0,0.0
1929,Winter,12.65828369584147,58.40710286114485,-30.0,11.074764025982574,88.40710286114485,120.6
1930,Fall,22.546439666607526,93.0,4.0,6.52,89.0,23.400000000000002
1930,Spring,23.562355171256684,85.0,4.0,4.96,81.0,3.0
1930,Summer,43.30829536226336,105.0,32.0,6.390986970459886,73.0,0.0
1930,Winter,16.306939722905952,71.89820221000959,-29.0,11.62502080309332,100.89820221000959,105.0
1931,Fall,24.576328791025173,93.0,0.0,11.58,93.0,29.0
1931,Spring,31.04861238343175,94.0,12.0,8.024155037471667,82.0,3.3
1931,Summer,50.31101589797722,107.0,34.0,6.344500827630499,73.0,0.0
1931,Winter,18.486212585333124,59.0,-6.0,27.48,65.0,141.3
1932,Fall,28.90463999911947,92.0,17.0,15.000675879840918,75.0,28.3
1932,Spring,26.539863054385332,81.0,4.0,11.77,77.0,18.7
1932,Summer,40.59036233299441,103.0,31.51267801788942,3.134512657379844,71.48732198211059,0.0
1932,Winter,13.769049746251369,69.00417373597828,-21.0,14.09,90.00417373597828,126.8
1933,Fall,27.023735110381594,86.0,17.0,17.21,69.0,26.5
1933,Spring,27.68543328373605,85.0,11.0,15.38,74.0,27.4
1933,Summer,37.12535077671381,105.0,30.0,5.351962044999108,75.0,0.0
1933,Winter,14.760042701828963,62.0,-27.0,30.257089594722842,89.0,152.6
1934,Fall,33.69976621719698,99.0,15.0,28.750129883950926,84.0,26.3
1934,Spring,30.782256655515326,99.0,12.0,9.813630411426525,87.0,7.2
1934,Summer,33.98639769715981,106.0,25.811499183206493,6.924845893011486,80.1885008167935,0.0
1934,Winter,22.999917134850634,73.64495412680046,-6.0,17.695753607617682,79.64495412680046,143.8
1935,Fall,29.261602459961402,100.0,-4.0,7.481418149182161,104.0,19.6
1935,Spring,28.180653281007928,85.0,6.0,10.074759935610793,79.0,31.7
1935,Summer,37.49319905911001,109.0,25.811499183206493,5.475117362434818,83.1885008167935,0.0
1935,Winter,17.76587392253787,71.89820221000959,-22.0,16.73787680380884,93.89820221000959,124.6
1936,Fall,28.23012712870114,90.0,6.0,3.7323739248148056,84.0,3.6
1936,Spring,32.26219627108331,100.0,11.0,8.754034665852668,89.0,8.2
1936,Summer,39.90093344360584,108.0,31.51267801788942,16.555769298512793,76.48732198211059,0.0
1936,Winter,15.126386925254927,58.0,-27.0,22.58520595144906,85.0,105.3
1937,Fall,33.61886294917603,98.0,9.0,26.51,89.0,27.6
1937,Spring,30.85852194261118,90.0,6.0,20.52,84.0,26.5
