Year,Month,Highest Temperature
1916,Jun,87.85333333333332
1916,Mar,58.43571428571429
1916,May,73.16000000000001
1916,Nov,53.93571428571429
1916,Oct,71.02307692307691
1916,Sep,82.44615384615385
1917,Apr,60.52307692307692
1917,Aug,91.04285714285713
1917,Dec,56.61666666666667
1917,Feb,48.378571428571426
1917,Jan,45.221428571428575
1917,Jul,91.0
1917,Jun,83.07857142857142
1917,Mar,51.3
1917,May,71.9076923076923
1917,Nov,62.42857142857143
1917,Oct,77.77142857142857
1917,Sep,80.96666666666667
1918,Apr,76.1923076923077
1918,Aug,91.1
1918,Dec,51.90714285714286
1918,Feb,49.29230769230769
1918,Jan,52.91428571428571
1918,Jul,93.99
1918,Jun,88.85833333333333
1918,Mar,66.7
1918,May,78.68333333333334
1918,Nov,53.82666666666667
1918,Oct,74.20666666666666
1918,Sep,85.51666666666667
1919,Apr,70.50666666666666
1919,Aug,92.26153846153846
1919,Dec,51.65384615384615
1919,Feb,47.021428571428565
1919,Jan,50.4
1919,Jul,94.59285714285714
1919,Jun,81.51428571428572
1919,Mar,63.519999999999996
1919,May,80.24
1919,Nov,55.599999999999994
1919,Oct,74.91428571428571
1919,Sep,82.03333333333333
1920,Apr,70.925
1920,Aug,94.50714285714285
1920,Dec,50.60833333333333
1920,Feb,54.03636363636363
1920,Jan,53.221428571428575
1920,Jul,94.67142857142858
1920,Jun,85.8076923076923
1920,Mar,59.15833333333333
1920,May,77.54285714285713
1920,Nov,57.58461538461539
1920,Oct,70.32142857142857
1920,Sep,84.45
1921,Apr,69.46153846153847
1921,Aug,87.66428571428571
1921,Dec,51.63076923076923
1921,Feb,56.154545454545456
1921,Jan,50.53333333333333
1921,Jul,84.95
1921,Jun,82.16923076923078
1921,Mar,62.51538461538462
1921,May,77.60000000000001
1921,Nov,60.04
1921,Oct,74.78571428571429
1921,Sep,74.5
1922,Apr,67.13076923076923
1922,Aug,90.55714285714285
1922,Dec,47.82727272727273
1922,Feb,45.88461538461539
1922,Jan,41.486666666666665
1922,Jul,91.79230769230769
1922,Jun,87.19285714285715
1922,Mar,53.78
1922,May,82.70833333333333
1922,Nov,52.35454545454545
1922,Oct,74.04615384615384
1922,Sep,84.60769230769232
1923,Apr,74.68333333333334
1923,Aug,92.83076923076922
1923,Dec,48.74545454545455
1923,Feb,50.63333333333333
1923,Jan,48.480000000000004
1923,Jul,93.45454545454545
1923,Jun,89.925
1923,Mar,68.53076923076922
1923,May,80.09166666666667
1923,Nov,58.5
1923,Oct,79.23076923076923
1923,Sep,88.96666666666665
1924,Apr,74.49230769230769
1924,Aug,87.76666666666667
1924,Dec,52.69230769230769
1924,Feb,54.02307692307692
1924,Jan,48.300000000000004
1924,Jul,97.07142857142857
1924,Jun,95.0076923076923
1924,Mar,58.0
1924,May,86.88461538461539
1924,Nov,53.94285714285714
1924,Oct,69.16666666666667
1924,Sep,89.09285714285714
1925,Apr,74.92
1925,Aug,91.27333333333333
1925,Dec,52.45333333333333
1925,Feb,52.806666666666665
1925,Jan,48.82
1925,Jul,89.90625
1925,Jun,92.3
1925,Mar,61.00714285714286
1925,May,80.66000000000001
1925,Nov,54.833333333333336
1925,Oct,69.65
1925,Sep,81.925
1926,Apr,82.88000000000001
1926,Aug,91.63571428571429
1926,Dec,53.43571428571429
1926,Feb,56.68125
1926,Jan,47.9
1926,Jul,95.75
1926,Jun,91.3
1926,Mar,68.3375
1926,May,80.025
1926,Nov,59.84
1926,Oct,68.91875
1926,Sep,80.80625
1927,Apr,73.03999999999999
1927,Aug,90.9
1927,Dec,52.792857142857144
1927,Feb,49.4
1927,Jan,46.086666666666666
1927,Jul,95.1375
1927,Jun,85.3875
1927,Mar,58.392857142857146
1927,May,77.11875
1927,Nov,56.00714285714286
1927,Oct,70.56666666666666
1927,Sep,79.31875
1928,Apr,70.65294117647058
1928,Aug,87.63125
1928,Dec,47.40625
1928,Feb,50.10666666666667
1928,Jan,48.976470588235294
1928,Jul,97.53125
1928,Jun,86.8
1928,Mar,67.64375
1928,May,87.1
1928,Nov,57.61764705882353
1928,Oct,68.25294117647059
1928,Sep,88.47058823529412
1929,Apr,69.2125
1929,Aug,90.91333333333334
1929,Dec,50.96666666666667
1929,Feb,44.54117647058824
1929,Jan,39.35
1929,Jul,91.45625
1929,Jun,84.85
1929,Mar,60.125
1929,May,80.14
1929,Nov,58.00714285714286
1929,Oct,74.68125
1929,Sep,85.47692307692309
1930,Apr,71.47142857142858
1930,Aug,91.85714285714286
1930,Dec,45.675
1930,Feb,54.675
1930,Jan,43.03076923076923
1930,Jul,91.59375
1930,Jun,84.20666666666666
1930,Mar,69.2235294117647
1930,May,76.09375
1930,Nov,58.580000000000005
1930,Oct,70.25
1930,Sep,85.2764705882353
1931,Apr,78.94117647058823
1931,Aug,91.59411764705882
1931,Dec,46.10588235294117
1931,Feb,53.28333333333333
1931,Jan,53.54666666666667
1931,Jul,96.02777777777777
1931,Jun,87.825
1931,Mar,60.870588235294115
1931,May,86.56666666666666
1931,Nov,59.03125
1931,Oct,74.08125
1931,Sep,82.09411764705882
1932,Apr,70.89411764705882
1932,Aug,91.87647058823529
1932,Dec,51.65294117647059
1932,Feb,55.85294117647059
1932,Jan,46.33529411764706
1932,Jul,85.86470588235295
1932,Jun,88.91111111111111
1932,Mar,60.4
1932,May,75.24705882352941
1932,Nov,58.23888888888889
1932,Oct,79.66666666666667
1932,Sep,85.06666666666666
1933,Apr,71.63888888888889
1933,Aug,96.44375
1933,Dec,54.78823529411765
1933,Feb,46.75
1933,Jan,48.90555555555555
1933,Jul,91.51875
1933,Jun,86.74705882352941
1933,Mar,54.72777777777778
1933,May,75.44444444444444
1933,Nov,60.016666666666666
1933,Oct,76.95625
1933,Sep,77.76875
1934,Apr,82.60588235294118
1934,Aug,92.18666666666667
1934,Dec,49.76875
1934,Feb,58.0
1934,Jan,51.62
1934,Jul,90.14
1934,Jun,85.4470588235294
1934,Mar,68.13529411764705
1934,May,86.84705882352942
1934,Nov,59.10625
1934,Oct,80.3375
1934,Sep,89.25882352941177
1935,Apr,68.94444444444444
1935,Aug,92.16111111111111
1935,Dec,47.48888888888889
1935,Feb,53.82631578947369
1935,Jan,53.01764705882353
1935,Jul,96.84375
1935,Jun,85.90625
1935,Mar,58.16470588235294
1935,May,77.71176470588235
1935,Nov,53.41111111111111
1935,Oct,78.95555555555556
1935,Sep,89.54117647058824
1936,Apr,78.28823529411765
1936,Aug,91.08823529411765
1936,Dec,53.00526315789474
1936,Feb,48.49411764705882
1936,Jan,47.77894736842105
1936,Jul,91.15789473684211
1936,Jun,87.36111111111111
1936,Mar,60.0578947368421
1936,May,87.72777777777777
1936,Nov,58.647368421052626
1936,Oct,78.95263157894736
1936,Sep,82.56470588235294
1937,Apr,65.60000000000001
1937,Aug,87.9388888888889
1937,Dec,51.150000000000006
1937,Feb,51.01052631578948
1937,Jan,35.794736842105266
1937,Jul,90.34705882352942
1937,Jun,88.91111111111111
1937,Mar,60.44444444444444
1937,May,79.61111111111111
1937,Nov,59.93125
1937,Oct,74.46842105263158
1937,Sep,89.10555555555555
1938,Apr,74.65555555555555
1938,Aug,88.0421052631579
1938,Dec,52.205555555555556
1938,Feb,54.98888888888889
1938,Jan,49.3
1938,Jul,96.86666666666666
1938,Jun,88.8157894736842
1938,Mar,59.90555555555555
1938,May,83.23684210526316
1938,Nov,53.53333333333333
1938,Oct,74.3157894736842
1938,Sep,90.49473684210527
1939,Apr,79.57894736842105
1939,Aug,94.33888888888889
1939,Dec,55.40555555555555
1939,Feb,48.44736842105263
1939,Jan,49.81666666666667
1939,Jul,97.98333333333333
1939,Jun,86.05263157894737
1939,Mar,69.78421052631579
1939,May,86.9578947368421
1939,Nov,59.626315789473686
1939,Oct,73.15555555555555
1939,Sep,85.53157894736842
1940,Apr,73.01176470588236
1940,Aug,93.32777777777778
1940,Dec,52.900000000000006
1940,Feb,53.152631578947364
1940,Jan,50.983333333333334
1940,Jul,92.14444444444445
1940,Jun,91.01111111111112
1940,Mar,66.54444444444444
1940,May,83.00555555555555
1940,Nov,53.09473684210526
1940,Oct,74.00526315789473
1940,Sep,87.2578947368421
1941,Apr,76.90588235294118
1941,Aug,90.66666666666667
1941,Dec,54.2
1941,Feb,55.629411764705885
1941,Jan,48.65882352941177
1941,Jul,99.11111111111111
1941,Jun,87.5529411764706
1941,Mar,69.39411764705882
1941,May,83.52222222222223
1941,Nov,60.92941176470588
1941,Oct,68.61764705882354
1941,Sep,75.26470588235294
1942,Apr,75.78125
1942,Aug,94.74117647058823
1942,Dec,48.5
1942,Feb,49.4
1942,Jan,49.03529411764706
1942,Jul,96.27222222222223
1942,Jun,89.9388888888889
1942,Mar,67.20588235294117
1942,May,77.73529411764706
1942,Nov,52.306666666666665
1942,Oct,76.81666666666666
1942,Sep,86.68235294117646
1943,Apr,77.54736842105264
1943,Aug,88.1
1943,Dec,51.388888888888886
1943,Feb,55.641176470588235
1943,Jan,46.00588235294118
1943,Jul,90.9375
1943,Jun,83.46111111111111
1943,Mar,58.50555555555555
1943,May,78.01764705882353
1943,Nov,57.357894736842105
1943,Oct,80.13333333333334
1943,Sep,88.01052631578948
1944,Apr,74.24705882352941
1944,Aug,89.69999999999999
1944,Dec,49.43529411764706
1944,Feb,50.523529411764706
1944,Jan,49.84705882352941
1944,Jul,95.72631578947369
1944,Jun,87.92222222222222
1944,Mar,64.54117647058824
1944,May,82.05555555555556
1944,Nov,58.138888888888886
1944,Oct,75.2
1944,Sep,93.16111111111111
1945,Apr,69.675
1945,Aug,92.32777777777778
1945,Dec,50.59411764705882
1945,Feb,54.078947368421055
1945,Jan,54.888888888888886
1945,Jul,92.10000000000001
1945,Jun,86.0
1945,Mar,59.388888888888886
1945,May,81.12222222222222
1945,Nov,57.03529411764706
1945,Oct,76.78823529411765
1945,Sep,85.52352941176471
1946,Apr,75.3
1946,Aug,90.02
1946,Dec,50.98125
1946,Feb,52.38666666666666
1946,Jan,47.8
1946,Jul,93.67647058823529
1946,Jun,81.4
1946,Mar,63.8375
1946,May,81.15882352941176
1946,Nov,54.1
1946,Oct,65.94666666666667
1946,Sep,81.89411764705882
1947,Apr,78.15263157894738
1947,Aug,86.30666666666666
1947,Dec,49.47222222222222
1947,Feb,57.336842105263166
1947,Jan,47.32941176470588
1947,Jul,90.67058823529412
