,year,month,excessive_heat,frost_freeze,heavy_snow,heavy_rain,dense_smoke
168,2014,01,0.0,0.0,2.0,0.0,0.0
169,2014,02,0.0,0.0,5.0,0.0,0.0
170,2014,03,0.0,0.0,1.0,0.0,0.0
171,2014,04,0.0,0.0,0.0,0.0,0.0
172,2014,05,0.0,0.0,0.0,0.0,0.0
173,2014,06,0.0,0.0,0.0,0.0,0.0
174,2014,07,0.0,0.0,0.0,0.0,0.0
175,2014,08,0.0,0.0,0.0,0.0,0.0
176,2014,09,0.0,0.0,0.0,0.0,0.0
177,2014,10,0.0,0.0,0.0,0.0,0.0
178,2014,11,0.0,0.0,3.0,0.0,0.0
179,2014,12,0.0,0.0,3.0,0.0,0.0
180,2015,01,0.0,0.0,3.0,0.0,0.0
181,2015,02,0.0,0.0,0.0,0.0,0.0
182,2015,03,0.0,0.0,0.0,0.0,0.0
183,2015,04,0.0,0.0,0.0,0.0,0.0
184,2015,05,0.0,0.0,0.0,1.0,0.0
185,2015,06,0.0,0.0,0.0,1.0,0.0
186,2015,07,0.0,0.0,0.0,0.0,0.0
187,2015,08,0.0,0.0,0.0,0.0,0.0
188,2015,09,0.0,0.0,0.0,0.0,0.0
189,2015,10,0.0,0.0,0.0,0.0,0.0
190,2015,11,0.0,0.0,1.0,0.0,0.0
191,2015,12,0.0,0.0,9.0,0.0,0.0
192,2016,01,0.0,0.0,4.0,0.0,0.0
193,2016,02,0.0,0.0,0.0,0.0,0.0
194,2016,03,0.0,0.0,0.0,0.0,0.0
195,2016,04,0.0,0.0,0.0,0.0,0.0
196,2016,05,0.0,0.0,0.0,0.0,0.0
197,2016,06,0.0,0.0,0.0,0.0,0.0
198,2016,07,0.0,0.0,0.0,1.0,0.0
199,2016,08,0.0,0.0,0.0,0.0,0.0
200,2016,09,0.0,0.0,0.0,0.0,0.0
201,2016,10,0.0,0.0,0.0,0.0,0.0
202,2016,11,0.0,0.0,1.0,0.0,0.0
203,2016,12,0.0,0.0,8.0,0.0,0.0
204,2017,01,0.0,0.0,4.0,0.0,0.0
205,2017,02,0.0,0.0,3.0,0.0,0.0
206,2017,03,0.0,0.0,2.0,0.0,0.0
207,2017,04,0.0,0.0,0.0,0.0,0.0
208,2017,05,0.0,0.0,0.0,0.0,0.0
209,2017,06,0.0,0.0,0.0,0.0,0.0
210,2017,07,0.0,0.0,0.0,0.0,0.0
211,2017,08,0.0,0.0,0.0,0.0,1.0
212,2017,09,0.0,0.0,0.0,0.0,1.0
213,2017,10,0.0,0.0,1.0,0.0,0.0
214,2017,11,0.0,0.0,1.0,0.0,0.0
215,2017,12,0.0,0.0,4.0,0.0,0.0
216,2018,01,0.0,0.0,5.0,0.0,0.0
217,2018,02,0.0,0.0,4.0,0.0,0.0
218,2018,03,0.0,0.0,2.0,0.0,0.0
219,2018,04,0.0,0.0,0.0,0.0,0.0
220,2018,05,0.0,0.0,0.0,0.0,0.0
221,2018,06,0.0,0.0,0.0,0.0,0.0
222,2018,07,0.0,0.0,0.0,0.0,0.0
223,2018,08,0.0,0.0,0.0,0.0,3.0
224,2018,09,0.0,0.0,0.0,0.0,0.0
225,2018,10,0.0,0.0,0.0,0.0,0.0
226,2018,11,0.0,0.0,0.0,0.0,0.0
227,2018,12,0.0,0.0,3.0,0.0,0.0
228,2019,01,0.0,0.0,2.0,0.0,0.0
229,2019,02,0.0,0.0,10.0,0.0,0.0
230,2019,03,0.0,0.0,1.0,0.0,0.0
231,2019,04,0.0,0.0,1.0,0.0,0.0
232,2019,05,0.0,0.0,0.0,0.0,0.0
233,2019,06,0.0,0.0,0.0,0.0,0.0
234,2019,07,0.0,0.0,0.0,0.0,0.0
235,2019,08,0.0,0.0,0.0,0.0,0.0
236,2019,09,0.0,0.0,1.0,0.0,0.0
237,2019,10,0.0,0.0,1.0,0.0,0.0
238,2019,11,0.0,0.0,0.0,0.0,0.0
239,2019,12,0.0,0.0,3.0,0.0,0.0
240,2020,01,0.0,0.0,5.0,0.0,0.0
241,2020,02,0.0,0.0,6.0,0.0,0.0
242,2020,03,0.0,0.0,1.0,0.0,0.0
243,2020,04,0.0,0.0,0.0,0.0,0.0
244,2020,05,0.0,0.0,0.0,0.0,0.0
245,2020,06,0.0,0.0,0.0,0.0,0.0
246,2020,07,0.0,0.0,0.0,0.0,0.0
247,2020,08,0.0,0.0,0.0,0.0,0.0
248,2020,09,0.0,0.0,0.0,0.0,1.0
249,2020,10,0.0,0.0,1.0,0.0,0.0
250,2020,11,0.0,0.0,3.0,0.0,0.0
251,2020,12,0.0,0.0,5.0,0.0,0.0
252,2021,01,0.0,0.0,6.0,0.0,0.0
253,2021,02,0.0,0.0,5.0,0.0,0.0
254,2021,03,0.0,0.0,0.0,0.0,0.0
255,2021,04,0.0,0.0,0.0,0.0,0.0
256,2021,05,0.0,0.0,0.0,0.0,0.0
257,2021,06,2.0,0.0,0.0,0.0,0.0
258,2021,07,1.0,0.0,0.0,0.0,0.0
259,2021,08,0.0,0.0,0.0,0.0,0.0
260,2021,09,0.0,0.0,0.0,0.0,0.0
261,2021,10,0.0,0.0,0.0,0.0,0.0
