,location,county_zone,state,date,time,timezone,type,deaths,injuries,property_damage_dollars,crop_damage_dollars
1371,LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,2017-07-02,11:00:00 AM,PST-8,Wildfire,0,0,0,0
1372,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,2017-07-02,11:00:00 AM,PST-8,Wildfire,0,0,0,0
1373,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,2017-07-20,7:00:00 AM,PST-8,Wildfire,0,0,0,0
1374,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,2017-07-23,10:30:00 AM,PST-8,Wildfire,0,0,0,0
1375,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-08-01,12:00:00 AM,PST-8,Wildfire,0,0,0,0
1376,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2017-08-02,12:00:00 AM,PST-8,Dense Smoke,0,0,0,0
1377,OKANOGAN VALLEY (ZONE),OKANOGAN VALLEY (ZONE),WA,2017-08-02,12:00:00 AM,PST-8,Dense Smoke,0,0,0,0
1378,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2017-08-08,6:00:00 PM,PST-8,Wildfire,0,0,0,0
1379,EAST SLOPES OF THE WASHI...,EAST SLOPES OF THE WASHI...,WA,2017-08-11,5:45:00 PM,PST-8,Wildfire,0,0,0,0
1380,EAST SLOPES OF THE WASHI...,EAST SLOPES OF THE WASHI...,WA,2017-08-11,7:00:00 PM,PST-8,Wildfire,0,0,0,0
1381,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,2017-08-24,10:00:00 AM,PST-8,Wildfire,0,0,0,0
1382,EAST SLOPES OF THE WASHI...,EAST SLOPES OF THE WASHI...,WA,2017-09-01,12:00:00 AM,PST-8,Wildfire,0,0,0,0
1383,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-09-01,12:00:00 AM,PST-8,Wildfire,0,0,0,0
1384,EAST SLOPES OF THE WASHI...,EAST SLOPES OF THE WASHI...,WA,2017-09-01,12:00:00 AM,PST-8,Wildfire,0,0,0,0
1385,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2017-09-04,7:00:00 AM,PST-8,Dense Smoke,0,0,0,0
1386,OKANOGAN VALLEY (ZONE),OKANOGAN VALLEY (ZONE),WA,2017-09-04,7:00:00 AM,PST-8,Dense Smoke,0,0,0,0
1387,EAST SLOPES OF THE WASHI...,EAST SLOPES OF THE WASHI...,WA,2017-10-01,12:00:00 AM,PST-8,Wildfire,0,0,0,0
1388,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,2017-10-12,11:50:00 AM,PST-8,Heavy Snow,0,0,0,0
1389,LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,2017-10-17,8:20:00 AM,PST-8,Wildfire,0,0,0,0
1390,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2017-11-02,2:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1391,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2017-11-02,2:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1392,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2017-11-02,2:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1393,STEHEKIN,CHELAN CO.,WA,2017-11-23,3:45:00 AM,PST-8,Flood,0,0,0,0
1394,STEHEKIN,CHELAN CO.,WA,2017-11-23,3:45:00 AM,PST-8,Flood,0,0,3000,0
1395,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-18,8:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1396,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-18,8:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1397,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-18,8:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1398,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-18,8:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1399,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-18,8:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1400,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-18,8:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1401,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-18,8:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1402,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-18,8:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1403,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2017-12-18,10:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1404,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2017-12-18,10:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1405,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2017-12-18,10:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1406,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2017-12-18,10:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1407,BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,2017-12-24,5:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1408,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-28,10:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1409,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-28,10:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1410,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-28,10:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1411,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-28,10:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1412,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-28,10:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1413,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-28,10:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1414,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-28,10:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1415,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-12-28,10:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1416,EAST SLOPES OF THE WASHI...,EAST SLOPES OF THE WASHI...,WA,2017-12-28,1:40:00 PM,PST-8,Heavy Snow,0,0,0,0
1417,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2017-12-29,12:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1418,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2017-12-29,12:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1419,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2017-12-29,12:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1420,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2017-12-29,12:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1421,WHITMAN,WALLA WALLA CO.,WA,2017-12-30,6:30:00 AM,PST-8,Flood,0,0,0,0
1422,EAST SLOPES OF THE WASHI...,EAST SLOPES OF THE WASHI...,WA,2018-01-10,10:45:00 AM,PST-8,Heavy Snow,0,0,0,0
1423,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,2018-01-11,4:15:00 AM,PST-8,Heavy Snow,0,0,0,0
1424,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2018-01-11,5:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1425,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2018-01-11,5:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1426,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2018-01-11,5:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1427,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2018-01-11,5:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1428,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2018-01-11,6:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1429,OKANOGAN VALLEY (ZONE),OKANOGAN VALLEY (ZONE),WA,2018-01-11,6:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1430,OKANOGAN VALLEY (ZONE),OKANOGAN VALLEY (ZONE),WA,2018-01-11,6:00:00 AM,PST-8,Heavy Snow,0,0,0,0
