Year,Month,Average Temperature
1916,Jun,46.09111111111111
1916,Mar,30.51117647058824
1916,May,39.62722222222222
1916,Nov,28.289411764705882
1916,Oct,35.321875
1916,Sep,42.906
1917,Apr,33.930625
1917,Aug,50.678823529411765
1917,Dec,31.77375
1917,Feb,25.674117647058825
1917,Jan,23.64764705882353
1917,Jul,53.44375
1917,Jun,43.834705882352935
1917,Mar,28.604444444444443
1917,May,39.25375
1917,Nov,35.352222222222224
1917,Oct,41.133125
1917,Sep,44.213125
1918,Apr,36.79941176470589
1918,Aug,46.65533333333334
1918,Dec,26.80631578947368
1918,Feb,26.628235294117648
1918,Jan,29.595
1918,Jul,47.30571428571428
1918,Jun,47.06
1918,Mar,32.81411764705882
1918,May,39.080625
1918,Nov,30.654736842105265
1918,Oct,38.34111111111111
1918,Sep,47.29764705882353
1919,Apr,36.194736842105264
1919,Aug,46.52111111111111
1919,Dec,22.232222222222223
1919,Feb,27.287894736842105
1919,Jan,29.310625
1919,Jul,47.1678947368421
1919,Jun,43.97764705882353
1919,Mar,32.54777777777778
1919,May,39.62684210526316
1919,Nov,28.363333333333333
1919,Oct,33.391666666666666
1919,Sep,43.161578947368426
1920,Apr,32.754444444444445
1920,Aug,47.346666666666664
1920,Dec,29.583157894736843
1920,Feb,25.34625
1920,Jan,24.860526315789475
1920,Jul,51.78666666666667
1920,Jun,42.95368421052632
1920,Mar,30.32222222222222
1920,May,39.78888888888889
1920,Nov,33.42058823529412
1920,Oct,37.417500000000004
1920,Sep,43.629000000000005
1921,Apr,34.16555555555556
1921,Aug,53.67055555555555
1921,Dec,25.248333333333335
1921,Feb,28.6935294117647
1921,Jan,26.266000000000002
1921,Jul,49.76736842105263
1921,Jun,45.417368421052636
1921,Mar,31.563333333333333
1921,May,39.15833333333333
1921,Nov,32.96368421052631
1921,Oct,39.237
1921,Sep,42.25380952380952
1922,Apr,34.592352941176465
1922,Aug,47.055
1922,Dec,23.486153846153847
1922,Feb,22.764444444444443
1922,Jan,22.082631578947368
1922,Jul,51.68333333333333
1922,Jun,51.77058823529412
1922,Mar,30.536842105263162
1922,May,39.921052631578945
1922,Nov,28.86125
1922,Oct,39.71411764705882
1922,Sep,43.638333333333335
1923,Apr,37.070625
1923,Aug,50.879411764705885
1923,Dec,27.783076923076923
1923,Feb,23.005
1923,Jan,27.701428571428572
1923,Jul,46.82285714285714
1923,Jun,43.99
1923,Mar,30.8125
1923,May,40.67375
1923,Nov,31.38133333333333
1923,Oct,37.92133333333334
1923,Sep,45.29125
1924,Apr,35.244375
1924,Aug,46.007222222222225
1924,Dec,21.613333333333333
1924,Feb,32.64352941176471
1924,Jan,24.821764705882355
1924,Jul,51.50466666666667
1924,Jun,45.400625
1924,Mar,31.66235294117647
1924,May,43.465625
1924,Nov,28.939411764705884
1924,Oct,34.638125
1924,Sep,41.82235294117647
1925,Apr,36.50111111111111
1925,Aug,49.77611111111111
1925,Dec,31.1995
1925,Feb,30.896666666666665
1925,Jan,27.411875000000002
1925,Jul,52.44684210526316
