"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1998-1999","0.0","0.0","0.0","0.0","0.0","4.6","0.8","0.5","0.4","0.2","T","0.0","6.5"
"1999-2000","0.0","0.0","0.0","0.0","0.0","3.2","7.1","2.4","0.7","0.0","0.0","0.0","13.4"
"2000-2001","0.0","0.0","0.0","0.0","1.7","M","M","M","0.0","0.5","0.0","0.0","M"
"2001-2002","0.0","0.0","0.0","0.0","4.0","11.5","3.0","1.0","4.7","0.0","T","0.0","24.2"
"2002-2003","0.0","0.0","0.0","T","M","3.0","2.0","T","0.0","T","0.0","0.0","M"
"2003-2004","0.0","0.0","0.0","0.0","0.5","6.3","M","3.5","0.5","T","0.0","0.0","M"
"2004-2005","0.0","0.0","0.0","0.0","2.5","0.2","7.0","0.2","0.0","0.0","0.0","0.0","9.9"
"2005-2006","0.0","0.0","M","0.0","M","M","T","0.0","M","0.0","0.0","0.0","M"
"2006-2007","0.0","0.0","0.0","0.0","2.9","M","2.9","2.0","0.0","0.0","0.0","0.0","M"
"2007-2008","0.0","0.0","0.0","0.0","M","5.3","14.6","1.1","M","0.0","0.0","0.0","M"
"2008-2009","0.0","0.0","0.0","0.0","0.0","28.6","12.5","0.5","1.5","1.0","0.0","0.0","44.1"
"2009-2010","0.0","0.0","M","0.0","T","1.4","T","0.0","0.0","M","0.0","0.0","M"
"2010-2011","0.0","0.0","0.0","0.0","15.3","6.6","M","M","M","M","M","M","M"
"2011-2012","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2012-2013","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2013-2014","0.0","M","M","0.0","0.1","8.5","M","14.7","M","M","M","0.0","M"
"2014-2015","0.0","M","0.0","0.0","M","M","M","M","M","M","0.0","M","M"
"2015-2016","M","M","M","0.0","M","M","M","M","0.5","0.0","0.0","0.0","M"
"2016-2017","0.0","0.0","0.0","0.0","0.0","M","15.2","6.5","M","M","M","M","M"
"2017-2018","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2018-2019","0.0","M","0.0","M","M","M","M","M","M","M","M","M","M"
"2019-2020","0.0","M","M","M","0.0","1.0","5.0","M","M","M","M","M","M"
"2020-2021","M","M","M","M","M","M","M","M","M","M","M","0.0","M"
