"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"2004-2005","0.0","0.0","0.0","0.0","2.0","6.1","16.8","T","1.0","0.0","0.0","0.0","M"
"2005-2006","0.0","0.0","0.0","0.0","5.9","3.0","5.7","0.7","3.7","0.0","0.0","0.0","M"
"2006-2007","0.0","0.0","0.0","0.0","6.3","5.1","M","9.1","0.0","0.0","0.0","0.0","M"
"2007-2008","0.0","0.0","0.0","0.0","2.7","20.5","27.8","7.0","9.2","T","0.0","0.0","67.2"
"2008-2009","0.0","0.0","0.0","0.0","0.6","48.9","15.0","1.0","1.0","3.5","0.0","0.0","M"
"2009-2010","0.0","0.0","0.0","1.0","3.7","4.5","2.4","0.3","0.0","T","0.0","0.0","11.9"
"2010-2011","0.0","0.0","0.0","0.0","20.7","20.9","3.9","5.6","0.5","T","0.0","0.0","51.6"
"2011-2012","0.0","0.0","0.0","0.0","4.1","2.1","8.7","2.1","5.7","T","0.0","0.0","22.7"
"2012-2013","0.0","0.0","0.0","T","5.8","18.2","10.2","2.4","0.7","T","0.0","0.0","37.3"
"2013-2014","0.0","0.0","0.0","0.0","1.1","2.7","7.0","8.9","3.9","0.0","0.0","0.0","23.6"
"2014-2015","0.0","0.0","0.0","0.0","T","0.9","4.2","0.2","T","T","0.0","0.0","5.3"
"2015-2016","0.0","0.0","0.0","0.0","2.1","27.4","4.9","1.2","T","0.0","0.0","0.0","35.6"
"2016-2017","0.0","0.0","0.0","0.0","1.6","15.3","8.0","15.4","3.9","0.2","0.0","0.0","44.4"
"2017-2018","0.0","0.0","0.0","0.0","4.1","8.0","8.2","8.1","6.0","0.0","0.0","0.0","34.4"
"2018-2019","0.0","0.0","0.0","0.0","T","9.2","4.8","20.8","4.2","0.0","0.0","0.0","39.0"
"2019-2020","0.0","0.0","1.3","T","T","8.0","12.9","3.7","3.8","0.4","0.0","0.0","30.1"
"2020-2021","0.0","0.0","0.0","3.2","8.2","16.6","2.0","5.9","T","T","0.0","0.0","35.9"
"2021-2022","0.0","0.0","0.0","T","1.9","13.8","7.0","0.7","0.0","1.2","0.0","0.0","24.6"
