"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"2008-2009","0.0","0.0","0.0","0.0","0.0","11.3","7.1","T","0.3","2.9","0.0","0.0","21.6"
"2009-2010","0.0","0.0","0.0","0.0","0.2","3.6","0.0","0.0","0.0","M","0.0","0.0","M"
"2010-2011","M","0.0","0.0","0.0","8.3","M","M","M","M","M","M","M","M"
"2011-2012","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2012-2013","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2013-2014","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2014-2015","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2015-2016","0.0","M","0.0","0.0","1.8","8.5","0.7","0.0","0.0","0.0","0.0","0.0","M"
"2016-2017","0.0","0.0","0.0","0.0","0.0","8.3","6.8","8.1","0.0","0.0","0.0","M","M"
"2017-2018","M","M","0.0","0.0","0.0","3.4","0.0","3.3","0.2","0.0","0.0","0.0","M"
"2018-2019","0.0","0.0","0.0","0.0","0.0","2.5","T","21.6","2.8","0.0","0.0","0.0","26.9"
"2019-2020","0.0","0.0","0.0","0.0","0.0","1.5","3.5","2.6","1.7","0.0","0.0","0.0","9.3"
"2020-2021","0.0","0.0","0.0","0.0","1.0","3.7","2.3","14.2","0.0","0.0","0.0","0.0","21.2"
"2021-2022","0.0","0.0","0.0","0.0","T","M","M","M","0.0","M","M","M","M"
