"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1963-1964","0.0","0.0","0.0","0.0","7.9","20.0","47.1","1.0","2.4","T","0.0","0.0","M"
"1964-1965","M","0.0","0.0","0.0","13.7","37.7","24.8","3.3","0.0","T","0.0","0.0","M"
"1965-1966","0.0","0.0","0.0","0.0","14.0","31.3","41.0","4.0","11.0","0.0","0.0","0.0","101.3"
"1966-1967","0.0","0.0","0.0","T","7.1","10.6","16.5","2.5","4.0","0.0","0.0","0.0","40.7"
"1967-1968","0.0","0.0","0.0","T","0.5","20.3","23.0","3.0","M","0.0","0.0","M","M"
"1968-1969","0.0","0.0","0.0","0.0","3.5","62.2","38.5","26.3","2.0","0.0","0.0","0.0","132.5"
"1969-1970","0.0","0.0","0.0","0.0","T","34.0","44.1","5.0","M","T","0.0","0.0","M"
"1970-1971","0.0","0.0","0.0","T","19.0","59.0","33.5","7.5","18.3","0.0","0.0","M","M"
"1971-1972","0.0","0.0","0.0","3.0","17.6","62.8","31.3","M","17.5","2.0","0.0","M","M"
"1972-1973","0.0","0.0","0.0","0.5","2.1","M","14.7","5.0","0.0","M","M","M","M"
"1973-1974","0.0","0.0","0.0","0.0","16.7","45.6","17.0","10.0","2.5","M","0.0","0.0","M"
"1974-1975","0.0","0.0","0.0","0.0","M","20.3","35.7","21.2","M","T","0.0","0.0","M"
"1975-1976","0.0","0.0","0.0","0.0","11.3","M","20.1","9.7","T","0.0","0.0","0.0","M"
"1976-1977","0.0","0.0","0.0","0.0","0.0","M","0.8","3.5","0.0","0.0","0.0","0.0","M"
"1977-1978","0.0","0.0","0.0","0.0","14.0","30.0","13.4","5.3","1.5","0.0","0.0","0.0","64.2"
"1978-1979","0.0","0.0","0.0","0.0","3.1","7.1","6.1","18.0","0.0","0.0","0.0","0.0","34.3"
"1979-1980","0.0","0.0","0.0","0.0","M","27.3","19.6","11.1","0.0","0.0","0.0","0.0","M"
"1980-1981","0.0","0.0","0.0","0.0","6.5","24.5","3.0","2.0","0.0","0.0","0.0","0.0","36.0"
"1981-1982","0.0","0.0","0.0","0.0","0.9","33.5","19.8","10.3","3.0","0.0","0.0","M","M"
"1982-1983","0.0","0.0","0.0","0.0","11.6","25.7","29.5","5.0","0.0","0.0","0.0","0.0","71.8"
"1983-1984","0.0","0.0","0.0","0.0","15.0","M","6.9","5.0","0.0","0.0","0.0","0.0","M"
"1984-1985","0.0","0.0","0.0","0.0","12.2","11.0","3.8","M","6.0","0.0","0.0","0.0","M"
"1985-1986","0.0","0.0","0.0","3.8","4.6","8.5","17.3","16.3","0.0","0.0","0.0","0.0","M"
"1986-1987","0.0","0.0","0.0","0.0","5.5","14.5","24.0","14.0","3.5","0.0","0.0","0.0","61.5"
"1987-1988","0.0","0.0","0.0","0.0","0.0","32.3","12.2","2.0","1.5","T","0.0","0.0","48.0"
"1988-1989","0.0","0.0","0.0","0.0","10.0","12.8","3.3","17.7","9.4","0.0","0.0","0.0","53.2"
"1989-1990","0.0","0.0","0.0","0.0","2.0","1.0","21.5","4.0","T","0.0","0.0","0.0","28.5"
"1990-1991","M","0.0","0.0","T","3.5","17.6","8.0","T","7.2","0.0","0.0","0.0","M"
