"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1992-1993","0.0","0.0","0.0","0.0","0.0","M","M","M","0.0","0.0","0.0","0.0","M"
"1993-1994","0.0","0.0","0.0","0.0","2.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","6.0"
"1994-1995","0.0","0.0","0.0","0.0","1.0","9.0","0.0","M","3.0","0.0","M","0.0","M"
"1995-1996","M","0.0","M","0.0","0.0","1.5","M","3.5","0.0","0.0","0.0","0.0","M"
"1996-1997","0.0","0.0","0.0","0.0","0.0","M","2.0","0.5","12.0","0.0","0.0","0.0","M"
"1997-1998","0.0","0.0","0.0","0.0","0.0","2.0","18.0","1.0","0.5","0.0","0.0","0.0","21.5"
"1998-1999","0.0","0.0","0.0","0.0","0.0","5.5","1.0","15.5","0.0","0.0","M","0.0","M"
"1999-2000","0.0","0.0","0.0","0.0","0.0","1.0","12.3","0.0","0.0","0.0","0.0","0.0","13.3"
"2000-2001","0.0","0.0","0.0","0.0","0.0","0.5","2.0","0.0","0.0","0.0","0.0","0.0","2.5"
"2001-2002","0.0","0.0","0.0","0.0","0.0","M","M","0.0","6.0","0.0","0.0","0.0","M"
"2002-2003","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M","M","2.0","0.0","0.0","M"
"2003-2004","0.0","0.0","0.0","M","3.0","18.5","43.0","0.0","0.0","0.0","0.0","0.0","M"
"2004-2005","0.0","0.0","0.0","0.0","T","0.0","M","0.0","0.0","0.0","0.0","0.0","M"
"2005-2006","0.0","0.0","0.0","0.0","M","1.0","1.0","1.0","0.0","0.0","M","0.0","M"
"2006-2007","0.0","0.0","0.0","0.0","4.0","M","21.0","4.0","0.0","0.0","0.0","0.0","M"
"2007-2008","0.0","0.0","0.0","0.0","3.0","M","M","7.5","6.0","0.0","0.0","0.0","M"
"2008-2009","0.0","0.0","0.0","0.0","0.0","M","26.5","2.5","5.5","0.0","0.0","0.0","M"
"2009-2010","0.0","0.0","0.0","0.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","M"
"2010-2011","0.0","0.0","0.0","0.0","4.5","T","M","M","M","M","M","M","M"
"2011-2012","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2012-2013","M","M","M","M","M","M","M","M","M","M","0.0","M","M"
"2013-2014","M","0.0","0.0","M","M","T","M","M","0.0","0.0","0.0","0.0","M"
"2014-2015","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2015-2016","0.0","0.0","0.0","0.0","0.0","M","M","0.0","0.0","0.0","0.0","0.0","M"
"2016-2017","0.0","0.0","0.0","0.0","0.0","29.6","20.6","8.0","5.0","0.0","0.0","0.0","63.2"
"2017-2018","0.0","0.0","0.0","M","0.0","4.5","0.0","12.3","0.0","0.0","0.0","0.0","M"
"2018-2019","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.5","4.5","0.0","0.0","0.0","20.0"
"2019-2020","0.0","0.0","0.0","0.0","0.0","0.0","2.6","M","0.0","0.0","0.0","0.0","M"
"2020-2021","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0","0.0","0.0","0.0","0.0","14.0"
"2021-2022","0.0","0.0","0.0","0.0","0.0","24.5","3.5","0.3","0.0","3.0","0.0","0.0","31.3"
