"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1970-1971","0.0","0.0","0.0","0.0","1.0","3.5","21.5","6.0","6.0","0.0","0.0","0.0","38.0"
"1971-1972","0.0","0.0","0.0","T","0.0","6.5","2.0","T","0.5","1.0","0.0","0.0","10.0"
"1972-1973","0.0","0.0","0.0","0.0","0.0","2.5","1.5","0.0","1.0","0.0","0.0","0.0","5.0"
"1973-1974","0.0","0.0","0.0","0.0","0.0","0.0","T","3.0","6.0","0.0","0.0","0.0","9.0"
"1974-1975","0.0","0.0","0.0","0.0","0.0","1.1","5.5","0.5","T","1.0","0.0","0.0","8.1"
"1975-1976","0.0","0.0","0.0","0.0","1.0","2.0","0.0","4.6","2.9","0.0","0.0","0.0","10.5"
"1976-1977","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","T"
"1977-1978","0.0","0.0","0.0","0.0","0.0","M","0.5","0.0","0.0","0.0","0.0","0.0","M"
"1978-1979","0.0","0.0","0.0","0.0","T","1.5","0.0","0.0","0.0","0.0","0.0","0.0","1.5"
"1979-1980","0.0","0.0","0.0","0.0","0.0","0.0","13.0","0.0","3.5","0.0","0.0","0.0","16.5"
"1980-1981","0.0","0.0","0.0","0.0","0.0","13.0","0.0","0.0","0.0","1.0","0.0","0.0","14.0"
"1981-1982","0.0","0.0","0.0","0.0","0.0","3.5","25.0","5.5","1.0","0.0","0.0","0.0","35.0"
"1982-1983","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.5"
"1983-1984","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"1984-1985","0.0","0.0","0.0","0.0","0.0","7.5","0.0","3.5","1.1","0.0","0.0","0.0","12.1"
"1985-1986","0.0","0.0","0.0","0.0","14.5","0.0","0.0","5.0","0.0","0.0","0.0","0.0","19.5"
"1986-1987","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1987-1988","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.3","0.0","0.0","0.0","1.3"
"1988-1989","0.0","0.0","0.0","0.0","0.3","0.3","5.0","3.0","5.0","0.0","0.0","0.0","13.6"
"1989-1990","0.0","0.0","0.0","0.0","0.0","0.0","2.0","13.0","1.0","0.0","0.0","0.0","16.0"
"1990-1991","0.0","0.0","0.0","0.0","0.0","4.8","T","0.0","T","0.3","0.0","0.0","5.1"
"1991-1992","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","T","0.0","0.0","T"
"1992-1993","0.0","0.0","0.0","0.0","0.0","7.0","1.5","1.0","0.0","0.0","0.0","0.0","9.5"
"1993-1994","0.0","0.0","0.0","0.0","T","0.0","0.0","1.0","2.0","0.0","0.0","0.0","3.0"
"1994-1995","0.0","0.0","0.0","0.0","0.0","2.0","0.0","3.0","0.0","0.0","0.0","0.0","5.0"
"1995-1996","0.0","0.0","0.0","0.0","0.0","T","8.0","1.8","0.0","0.0","0.0","0.0","9.8"
"1996-1997","0.0","0.0","0.0","0.0","5.0","4.0","0.0","0.0","3.0","0.0","0.0","0.0","12.0"
