"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"2001-2002","0.0","0.0","0.0","0.0","0.0","0.0","0.9","0.0","6.5","0.0","0.0","0.0","M"
"2002-2003","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2003-2004","0.0","0.0","0.0","0.0","0.0","0.0","3.8","0.0","0.0","0.0","0.0","0.0","M"
"2004-2005","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2005-2006","0.0","0.0","0.0","0.0","0.0","T","0.0","0.9","0.0","0.0","0.0","0.0","0.9"
"2006-2007","0.0","0.0","0.0","0.0","8.6","0.0","0.3","0.8","0.0","0.0","0.0","0.0","9.7"
"2007-2008","0.0","0.0","0.0","0.0","0.0","0.3","0.1","0.3","0.1","0.0","0.0","0.0","0.8"
"2008-2009","0.0","0.0","0.0","0.0","0.0","30.5","2.4","0.0","1.0","0.0","M","0.0","M"
"2009-2010","0.0","0.0","0.0","0.0","0.0","2.2","0.0","0.0","0.0","0.0","0.0","0.0","2.2"
"2010-2011","0.0","0.0","0.0","0.0","1.8","0.0","M","M","M","M","M","M","M"
"2011-2012","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2012-2013","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2013-2014","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2014-2015","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2015-2016","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2016-2017","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2017-2018","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2018-2019","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2019-2020","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2020-2021","M","0.0","M","M","M","M","M","M","M","M","M","M","M"
"2021-2022","M","M","M","M","M","M","M","M","M","M","M","M","M"
