Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1939-1940,0,0,0,1,0,3.9,6.2,10.9,T,T,0,0,22,Spokane
1940-1941,0,0,0,0,7.9,1,8.1,2,0,0,0,0,19,Spokane
1941-1942,0,0,0,0,1.8,6.8,4.9,7.9,1.3,T,T,0,22.7,Spokane
1942-1943,0,0,0,0,7.2,10.6,17.7,9,1.5,0,T,0,46,Spokane
1943-1944,0,0,0,T,T,0.8,2.4,10.1,2,T,T,T,15.3,Spokane
1944-1945,0,0,0,0,3.9,4.4,1.7,0.9,M,1,0,0,M,Spokane
1945-1946,0,0,0,T,6.2,8.8,6.3,5.2,4.2,0.1,0,0,30.8,Spokane
1946-1947,0,0,0,T,16.1,5,6.3,0.2,1,T,0,0,28.6,Spokane
1947-1948,0,0,0,0,5.8,11.9,8.5,12,1,0.3,T,0,39.5,Spokane
1948-1949,0,0,0,T,8,33.2,6.4,13.6,4,T,0,T,65.2,Spokane
1949-1950,0,0,0,0.4,3.2,13.8,56.9,11.2,7.7,0.1,0.2,0,93.5,Spokane
1950-1951,0,0,0,0,11.5,8,29.2,10.6,12.4,0,0,0,71.7,Spokane
1951-1952,0,0,0,1.2,0.7,39.4,24.2,8,6.1,0,T,T,79.6,Spokane
1952-1953,0,0,0,0,T,25.6,10.5,4.9,3.5,T,T,T,44.5,Spokane
1953-1954,0,T,0,0,1.1,4.8,46.5,3.9,0.1,T,0,T,56.4,Spokane
1954-1955,0,0,0,0,T,7.8,15.6,16,5.1,0.6,T,0,45.1,Spokane
1955-1956,T,0,0,T,24.7,18.5,18.9,13.5,7.6,T,0,0,83.2,Spokane
1956-1957,0,0,0,0.7,1.5,7.3,20.8,10.5,6.4,1.4,0,0,48.6,Spokane
1957-1958,0,0,0,6.1,2,10.8,7.4,0.7,1.9,T,0,0,28.9,Spokane
1958-1959,0,0,0,0,8.6,8.4,22.4,20.6,3.1,T,T,0,63.1,Spokane
1959-1960,0,0,0,0,10.7,6.5,8.3,3.5,9,0.6,T,0,38.6,Spokane
1960-1961,0,0,0,0,2.5,8.6,7.8,7.8,6.7,0.1,0,0,33.5,Spokane
1961-1962,0,0,0,T,8.9,26.2,12.2,4.5,15.3,T,0,0,67.1,Spokane
1962-1963,0,0,0,0,4.4,0.5,8.7,2.7,1.2,0.5,T,0,18,Spokane
1963-1964,0,0,0,0,0.4,19.6,26.3,5.2,5.2,6.6,0,0,63.3,Spokane
1964-1965,0,0,0,T,15.2,42,20.1,2.3,2,0.1,0,0,81.7,Spokane
1965-1966,0,0,0,T,6.3,15.4,13.9,1.6,7.2,T,T,0,44.4,Spokane
1966-1967,0,0,0,T,0.9,9,6.5,3.1,6.4,0.8,3.5,0,30.2,Spokane
1967-1968,0,0,0,T,4.8,12.7,11.8,0.4,T,T,T,0,29.7,Spokane
1968-1969,0,0,0,0,1.2,19.8,48.7,5.4,2,0.4,0,0,77.5,Spokane
1969-1970,0,0,0,0,T,10.4,19.4,2.8,6.9,0.3,0.1,0,39.9,Spokane
1970-1971,0,0,0,T,6.8,12,6.1,5.5,1.5,T,0,0,31.9,Spokane
1971-1972,0,0,0,3.1,4,34.2,17.2,5.9,2.5,0.2,0,0,67.1,Spokane
1972-1973,0,0,0,0.8,T,4.7,6.5,3.5,0.5,T,T,0,16,Spokane
1973-1974,0,0,0,0.8,23.6,9.1,15,4.4,2.5,0.4,0.4,0,56.2,Spokane
1974-1975,0,0,0,0,0.3,16.6,30.9,28.5,7.6,5.1,T,0,89,Spokane
1975-1976,0,0,0,3.9,11.4,6.9,15.3,6.3,4.6,0.4,0,0,48.8,Spokane
1976-1977,0,0,0,0,0.1,4.2,6.8,2.5,2.7,T,T,0,16.3,Spokane
1977-1978,0,0,0,0,11.2,30.3,19.1,6.6,2.2,T,T,0,69.4,Spokane
1978-1979,0,0,0,0,15.4,14.8,16.5,10.6,3.4,T,T,0,60.7,Spokane
1979-1980,0,0,0,0,3.9,10.4,16.6,5.9,1.1,0.4,0,0,38.3,Spokane
1980-1981,0,0,0,0,1.2,6.8,2.6,3.3,T,T,0.3,0,14.2,Spokane
1981-1982,0,0,0,T,0.8,13,23.3,2.2,2.1,6,T,0,47.4,Spokane
1982-1983,0,0,0,T,5.4,17.4,8.1,5.5,T,0.2,T,0,36.6,Spokane
1983-1984,0,0,0,0,5.7,24.8,5.3,8,1.9,1.3,0.8,0,47.8,Spokane
1984-1985,0,0,0,1.1,12,24.7,4.6,14.8,9.6,T,T,0,66.8,Spokane
1985-1986,0,0,0,0.4,23.7,8.3,14.7,13.8,T,0.2,T,0,61.1,Spokane
