Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
2010-2011,0,0,0,0,12,20.5,6,6.4,7,3,0,0,54.9,Ferry
2011-2012,0,0,0,0,21.6,3.3,12.9,22,12.3,1,0,M,M,Ferry
2012-2013,0,0,M,3,9.5,37.2,16.1,2.9,4.5,1.8,0,0,M,Ferry
2013-2014,T,0,0,0,7.5,5,8.7,20,7.5,0.8,0,0,49.5,Ferry
2014-2015,0,0,0,0,M,9.3,14.8,7,1,T,0,0,M,Ferry
2015-2016,0,M,0,0,4.5,28.1,23.9,1.2,2,T,0,0,M,Ferry
2016-2017,0,0,M,M,M,M,M,M,M,M,M,M,M,Ferry
2017-2018,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
2018-2019,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
2019-2020,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
2020-2021,M,M,M,M,M,M,M,M,M,M,M,M,M,Ferry
2021-2022,M,M,0,0,5.7,M,M,3.9,0,T,0,0,M,Ferry
