Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1975,0.98,1.87,1.26,1.21,1.23,0.74,1.23,1.68,0.07,1.44,1.99,1.36,15.06,Ferry
1976,0.93,1.04,1.39,0.8,1.43,1.16,0.36,2.4,0.47,0.53,0.09,0.84,11.44,Ferry
1977,0.48,0.39,1.81,0.15,1.88,1.14,0.61,0.94,1.24,0.62,0.95,2.53,12.74,Ferry
1978,1.89,0.98,1,2.29,1.44,1.78,2.97,2.63,0.82,0.18,0.79,0.56,17.33,Ferry
1979,0.66,2.89,0.22,1.26,M,0.88,0.31,2.32,1.62,1.85,0.94,1.32,M,Ferry
1980,1.68,2.81,0.6,1.91,4.38,1.45,0.57,1.09,1.39,0.89,1.23,2.31,20.31,Ferry
1981,0.53,1.49,1.13,0.37,3.05,1.78,2.35,0.04,1.22,2.03,1.63,2.58,18.2,Ferry
1982,1.71,0.97,1.89,1.22,0.33,1.84,2.78,1.62,1.51,1.16,1.85,2.44,19.32,Ferry
1983,2.02,2.17,1.8,2.06,1.28,2.09,2.3,2.6,0.26,0.29,4.63,2.07,23.57,Ferry
1984,0.81,1.31,3.48,1.12,1.49,3.45,0.63,0.99,0.29,0.93,3.72,0.92,19.14,Ferry
1985,0.53,0.81,1.01,0.31,1.02,0.9,0.13,0.28,2.05,1.43,0.79,0.68,9.94,Ferry
1986,2.22,1.2,0.99,1.83,0.93,1.28,1.41,0.19,2.37,0.26,0.86,1.05,14.59,Ferry
1987,1.47,0.48,2.07,1.16,1.25,0.56,1.94,1.26,0.38,0.11,0.7,3.46,14.84,Ferry
1988,0.85,0.07,1.44,1.4,1.23,1.6,0.2,0,1.15,0.05,2.25,M,M,Ferry
1989,0.39,1.29,1.95,1.06,3.12,0.91,0.33,1.21,0.24,1.4,0.87,0.36,M,Ferry
1990,1.79,1,0.65,0.86,6.07,2.25,2.07,2.07,0,0.8,0.51,0.77,M,Ferry
1991,1.74,0.78,1.31,0.81,3.42,3.78,0.77,0.3,0.35,0.17,2.31,0.52,16.26,Ferry
1992,1.89,1.78,0.67,2.13,0.66,2.92,3.52,0.26,0.26,0.86,2.51,1.31,18.77,Ferry
1993,1.34,0.6,0.89,2.93,1.21,2.24,4.15,2.03,0.23,0.17,0.26,2.81,18.86,Ferry
1994,0.67,1.59,0.28,1.89,1.35,1.53,0.02,0.79,0.64,1.26,1.4,2.06,13.48,Ferry
1995,2.96,0.59,2.81,1.76,1.06,2.88,0.93,1.21,0.94,0.63,2.1,2.86,20.73,Ferry
1996,M,1.93,0.53,1.83,4.97,0.74,0.7,0.07,1.11,1.86,2.31,4.15,M,Ferry
